"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"176","<p></p>","","recognized","html-keyboard-response","1438","2385159","0.0-2.0-2.239","EV","1","pretest","true","3586639","78","../img/tt/1226tt.jpg","n",""
"null","../img/gs/1226gs.jpg","","solution","image-keyboard-response","1439","2387164","0.0-2.0-3.239","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1226tt.jpg","","mooney2","image-keyboard-response","1440","2389166","0.0-2.0-4.239","EV","1","pretest","true","3586639","null","","",""
"411","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1441","2389580","0.0-2.0-5.239","EV","1","pretest","true","3586639","54","../img/tt/1226tt.jpg","","6"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1442","2389786","0.0-2.0-0.240","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/020tt.jpg","","mooney1","image-keyboard-response","1443","2392791","0.0-2.0-1.240","EV","1","pretest","true","3586639","null","../img/tt/020tt.jpg","",""
"328","<p></p>","","recognized","html-keyboard-response","1444","2393121","0.0-2.0-2.240","EV","1","pretest","true","3586639","78","../img/tt/020tt.jpg","n",""
"null","../img/gs/020gs.jpg","","solution","image-keyboard-response","1445","2395125","0.0-2.0-3.240","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/020tt.jpg","","mooney2","image-keyboard-response","1446","2397135","0.0-2.0-4.240","EV","1","pretest","true","3586639","null","","",""
"364","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1447","2397502","0.0-2.0-5.240","EV","1","pretest","true","3586639","52","../img/tt/020tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1448","2397708","0.0-2.0-0.241","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1211tt.jpg","","mooney1","image-keyboard-response","1449","2400715","0.0-2.0-1.241","EV","1","pretest","true","3586639","null","../img/tt/1211tt.jpg","",""
"788","<p></p>","","recognized","html-keyboard-response","1450","2401505","0.0-2.0-2.241","EV","1","pretest","true","3586639","78","../img/tt/1211tt.jpg","n",""
"null","../img/gs/1211gs.jpg","","solution","image-keyboard-response","1451","2403513","0.0-2.0-3.241","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1211tt.jpg","","mooney2","image-keyboard-response","1452","2405529","0.0-2.0-4.241","EV","1","pretest","true","3586639","null","","",""
"416","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1453","2405947","0.0-2.0-5.241","EV","1","pretest","true","3586639","53","../img/tt/1211tt.jpg","","5"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1454","2406155","0.0-2.0-0.242","EV","1","pretest","true","3586639","null","","",""
"null","../img/tt/1114tt.jpg","","mooney1","image-keyboard-response","1455","2409168","0.0-2.0-1.242","EV","1","pretest","true","3586639","null","../img/tt/1114tt.jpg","",""
