"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","../img/gs/597gs.jpg","","solution","image-keyboard-response","749","1595416","0.0-2.0-3.124","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/597tt.jpg","","mooney2","image-keyboard-response","750","1597419","0.0-2.0-4.124","CL","2","pretest","true","4407107","null","","",""
"362","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","751","1597781","0.0-2.0-5.124","CL","2","pretest","true","4407107","50","../img/tt/597tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","752","1597982","0.0-2.0-0.125","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/139tt.jpg","","mooney1","image-keyboard-response","753","1600989","0.0-2.0-1.125","CL","2","pretest","true","4407107","null","../img/tt/139tt.jpg","",""
"356","<p></p>","","recognized","html-keyboard-response","754","1601345","0.0-2.0-2.125","CL","2","pretest","true","4407107","89","../img/tt/139tt.jpg","y",""
"null","../img/gs/139gs.jpg","","solution","image-keyboard-response","755","1603350","0.0-2.0-3.125","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/139tt.jpg","","mooney2","image-keyboard-response","756","1605357","0.0-2.0-4.125","CL","2","pretest","true","4407107","null","","",""
"331","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","757","1605689","0.0-2.0-5.125","CL","2","pretest","true","4407107","50","../img/tt/139tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","758","1605894","0.0-2.0-0.126","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/306tt.jpg","","mooney1","image-keyboard-response","759","1608899","0.0-2.0-1.126","CL","2","pretest","true","4407107","null","../img/tt/306tt.jpg","",""
"635","<p></p>","","recognized","html-keyboard-response","760","1609535","0.0-2.0-2.126","CL","2","pretest","true","4407107","78","../img/tt/306tt.jpg","n",""
"null","../img/gs/306gs.jpg","","solution","image-keyboard-response","761","1611542","0.0-2.0-3.126","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/306tt.jpg","","mooney2","image-keyboard-response","762","1613546","0.0-2.0-4.126","CL","2","pretest","true","4407107","null","","",""
"771","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","763","1614319","0.0-2.0-5.126","CL","2","pretest","true","4407107","51","../img/tt/306tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","764","1614520","0.0-2.0-0.127","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/189tt.jpg","","mooney1","image-keyboard-response","765","1617526","0.0-2.0-1.127","CL","2","pretest","true","4407107","null","../img/tt/189tt.jpg","",""
"460","<p></p>","","recognized","html-keyboard-response","766","1617987","0.0-2.0-2.127","CL","2","pretest","true","4407107","78","../img/tt/189tt.jpg","n",""
"null","../img/gs/189gs.jpg","","solution","image-keyboard-response","767","1619993","0.0-2.0-3.127","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/189tt.jpg","","mooney2","image-keyboard-response","768","1621997","0.0-2.0-4.127","CL","2","pretest","true","4407107","null","","",""
"1793","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","769","1623792","0.0-2.0-5.127","CL","2","pretest","true","4407107","53","../img/tt/189tt.jpg","","5"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","770","1623998","0.0-2.0-0.128","CL","2","pretest","true","4407107","null","","",""
"null","../img/tt/404tt.jpg","","mooney1","image-keyboard-response","771","1627001","0.0-2.0-1.128","CL","2","pretest","true","4407107","null","../img/tt/404tt.jpg","",""
"359","<p></p>","","recognized","html-keyboard-response","772","1627361","0.0-2.0-2.128","CL","2","pretest","true","4407107","78","../img/tt/404tt.jpg","n",""
"null","../img/gs/404gs.jpg","","solution","image-keyboard-response","773","1629362","0.0-2.0-3.128","CL","2","pretest","true","4407107","null","","",""
