"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","746","1407079","0.0-2.0-0.124","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/585tt.jpg","","mooney1","image-keyboard-response","747","1410083","0.0-2.0-1.124","ck","2","pretest","true","4009713","null","../img/tt/585tt.jpg","",""
"734","<p></p>","","recognized","html-keyboard-response","748","1410818","0.0-2.0-2.124","ck","2","pretest","true","4009713","78","../img/tt/585tt.jpg","n",""
"null","../img/gs/585gs.jpg","","solution","image-keyboard-response","749","1412822","0.0-2.0-3.124","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/585tt.jpg","","mooney2","image-keyboard-response","750","1414825","0.0-2.0-4.124","ck","2","pretest","true","4009713","null","","",""
"1494","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","751","1416320","0.0-2.0-5.124","ck","2","pretest","true","4009713","49","../img/tt/585tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","752","1416522","0.0-2.0-0.125","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/436tt.jpg","","mooney1","image-keyboard-response","753","1419526","0.0-2.0-1.125","ck","2","pretest","true","4009713","null","../img/tt/436tt.jpg","",""
"1002","<p></p>","","recognized","html-keyboard-response","754","1420529","0.0-2.0-2.125","ck","2","pretest","true","4009713","78","../img/tt/436tt.jpg","n",""
"null","../img/gs/436gs.jpg","","solution","image-keyboard-response","755","1422533","0.0-2.0-3.125","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/436tt.jpg","","mooney2","image-keyboard-response","756","1424536","0.0-2.0-4.125","ck","2","pretest","true","4009713","null","","",""
"780","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","757","1425317","0.0-2.0-5.125","ck","2","pretest","true","4009713","51","../img/tt/436tt.jpg","","3"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","758","1425519","0.0-2.0-0.126","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/177tt.jpg","","mooney1","image-keyboard-response","759","1428522","0.0-2.0-1.126","ck","2","pretest","true","4009713","null","../img/tt/177tt.jpg","",""
"1396","<p></p>","","recognized","html-keyboard-response","760","1429919","0.0-2.0-2.126","ck","2","pretest","true","4009713","78","../img/tt/177tt.jpg","n",""
"null","../img/gs/177gs.jpg","","solution","image-keyboard-response","761","1431921","0.0-2.0-3.126","ck","2","pretest","true","4009713","null","","",""
"null","../img/tt/177tt.jpg","","mooney2","image-keyboard-response","762","1433925","0.0-2.0-4.126","ck","2","pretest","true","4009713","null","","",""
