"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","860","1606111","0.0-2.0-0.143","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1262tt.jpg","","mooney1","image-keyboard-response","861","1609114","0.0-2.0-1.143","J.W.","1","pretest","true","3859074","null","../img/tt/1262tt.jpg","",""
"519","<p></p>","","recognized","html-keyboard-response","862","1609634","0.0-2.0-2.143","J.W.","1","pretest","true","3859074","78","../img/tt/1262tt.jpg","n",""
"null","../img/gs/1262gs.jpg","","solution","image-keyboard-response","863","1611637","0.0-2.0-3.143","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1262tt.jpg","","mooney2","image-keyboard-response","864","1613639","0.0-2.0-4.143","J.W.","1","pretest","true","3859074","null","","",""
"1088","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","865","1614729","0.0-2.0-5.143","J.W.","1","pretest","true","3859074","52","../img/tt/1262tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","866","1614932","0.0-2.0-0.144","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1020tt.jpg","","mooney1","image-keyboard-response","867","1617936","0.0-2.0-1.144","J.W.","1","pretest","true","3859074","null","../img/tt/1020tt.jpg","",""
"1144","<p></p>","","recognized","html-keyboard-response","868","1619081","0.0-2.0-2.144","J.W.","1","pretest","true","3859074","89","../img/tt/1020tt.jpg","y",""
"null","../img/gs/1020gs.jpg","","solution","image-keyboard-response","869","1621085","0.0-2.0-3.144","J.W.","1","pretest","true","3859074","null","","",""
"null","../img/tt/1020tt.jpg","","mooney2","image-keyboard-response","870","1623088","0.0-2.0-4.144","J.W.","1","pretest","true","3859074","null","","",""
"691","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","871","1623781","0.0-2.0-5.144","J.W.","1","pretest","true","3859074","54","../img/tt/1020tt.jpg","","6"
